Status,Pinging to,Time
ok,google.com,20:06:58
ok,google.com,20:07:03
ok,google.com,20:07:08
ok,google.com,20:07:13
ok,google.com,20:07:18
ok,google.com,20:07:23
ok,google.com,20:07:28
ok,google.com,20:07:33
ok,google.com,20:08:44
ok,google.com,20:08:50
ok,google.com,20:08:55
ok,google.com,20:09:00
ok,google.com,20:09:05
ok,google.com,20:09:10
ok,google.com,20:09:15
ok,google.com,20:09:20
ok,google.com,20:09:25
ok,google.com,20:09:30
ok,google.com,20:10:58
ok,google.com,20:11:03
ok,google.com,20:11:08
ok,google.com,20:11:13
ok,google.com,20:11:18
ok,google.com,20:11:23
ok,google.com,20:11:28
ok,google.com,20:11:33
ok,google.com,20:11:38
ok,google.com,20:11:43
ok,google.com,20:11:48
ok,google.com,20:11:53
ok,google.com,20:11:58
ok,google.com,20:12:03
ok,google.com,20:12:08
ok,google.com,20:12:13
ok,google.com,20:12:18
ok,google.com,20:12:23
ok,google.com,20:12:28
ok,google.com,20:12:33
ok,google.com,20:12:38
ok,google.com,20:12:43
ok,google.com,20:12:48
ok,google.com,20:12:53
ok,google.com,20:12:58
ok,google.com,20:13:03
ok,google.com,20:13:08
ok,google.com,20:13:13
ok,google.com,20:13:18
ok,google.com,20:13:23
ok,google.com,20:13:28
ok,google.com,20:13:33
ok,google.com,20:13:38
ok,google.com,20:13:43
ok,google.com,20:13:48
ok,google.com,20:13:53
ok,google.com,20:13:58
ok,google.com,20:14:03
ok,google.com,20:14:08
ok,google.com,20:14:13
ok,google.com,20:14:18
ok,google.com,20:14:23
ok,google.com,20:14:28
ok,google.com,20:14:33
ok,google.com,20:14:38
ok,google.com,20:14:43
ok,google.com,20:14:48
ok,google.com,20:14:53
ok,google.com,20:14:58
ok,google.com,20:15:03
ok,google.com,20:15:08
ok,google.com,20:15:13
ok,google.com,20:15:18
ok,google.com,20:15:23
ok,google.com,20:15:28
ok,google.com,20:15:33
ok,google.com,20:15:38
ok,google.com,20:15:43
ok,google.com,20:15:48
ok,google.com,20:15:53
ok,google.com,20:15:58
ok,google.com,20:16:03
ok,google.com,20:16:08
ok,google.com,20:16:13
ok,google.com,20:16:18
ok,google.com,20:16:23
ok,google.com,20:16:28
ok,google.com,20:16:33
ok,google.com,20:16:39
ok,google.com,20:16:44
ok,google.com,20:16:49
ok,google.com,20:16:54
ok,google.com,20:16:59
ok,google.com,20:17:04
ok,google.com,20:17:09
ok,google.com,20:17:14
ok,google.com,20:17:19
ok,google.com,20:17:24
ok,google.com,20:17:29
ok,google.com,20:17:34
ok,google.com,20:17:39
ok,google.com,20:17:44
ok,google.com,20:17:49
ok,google.com,20:17:54
ok,google.com,20:17:59
ok,google.com,20:18:04
ok,google.com,20:18:09
ok,google.com,20:18:14
ok,google.com,20:18:19
ok,google.com,20:18:24
ok,google.com,20:18:29
ok,google.com,20:18:34
ok,google.com,20:18:39
ok,google.com,20:18:44
ok,google.com,20:18:49
ok,google.com,20:18:54
ok,google.com,20:18:59
ok,google.com,20:19:04
ok,google.com,20:19:09
ok,google.com,20:19:14
ok,google.com,20:19:19
ok,google.com,20:19:24
ok,google.com,20:19:29
ok,google.com,20:19:34
ok,google.com,20:19:39
ok,google.com,20:19:44
ok,google.com,20:19:49
ok,google.com,20:19:54
ok,google.com,20:19:59
ok,google.com,20:20:04
ok,google.com,20:20:09
ok,google.com,20:20:14
ok,google.com,20:20:19
ok,google.com,20:20:24
ok,google.com,20:20:29
ok,google.com,20:20:34
ok,google.com,20:20:39
ok,google.com,20:20:44
ok,google.com,20:20:49
ok,google.com,20:20:54
ok,google.com,20:20:59
ok,google.com,20:21:04
ok,google.com,20:21:09
ok,google.com,20:21:14
ok,google.com,20:21:19
ok,google.com,20:21:24
ok,google.com,20:21:29
ok,google.com,20:21:34
ok,google.com,20:21:39
ok,google.com,20:21:44
ok,google.com,20:21:49
ok,google.com,20:21:55
ok,google.com,20:22:00
ok,google.com,20:22:05
ok,google.com,20:22:10
ok,google.com,20:22:15
ok,google.com,20:22:20
ok,google.com,20:22:25
ok,google.com,20:22:30
ok,google.com,20:22:35
ok,google.com,20:22:40
ok,google.com,20:22:45
ok,google.com,20:22:50
ok,google.com,20:22:55
ok,google.com,20:23:00
ok,google.com,20:23:05
ok,google.com,20:23:10
ok,google.com,20:23:15
ok,google.com,20:23:20
ok,google.com,20:23:25
ok,google.com,20:23:30
ok,google.com,20:23:35
ok,google.com,20:23:40
ok,google.com,20:23:45
ok,google.com,20:23:50
ok,google.com,20:23:55
ok,google.com,20:24:00
ok,google.com,20:24:05
ok,google.com,20:24:10
ok,google.com,20:24:15
ok,google.com,20:24:20
ok,google.com,20:24:25
ok,google.com,20:24:30
ok,google.com,20:24:35
ok,google.com,20:24:40
ok,google.com,20:24:45
ok,google.com,20:24:50
ok,google.com,20:24:55
ok,google.com,20:25:00
ok,google.com,20:25:05
ok,google.com,20:25:10
ok,google.com,20:25:15
ok,google.com,20:25:20
ok,google.com,20:25:25
ok,google.com,20:25:30
ok,google.com,20:25:35
ok,google.com,20:25:40
ok,google.com,20:25:45
ok,google.com,20:25:50
ok,google.com,20:25:55
ok,google.com,20:26:00
ok,google.com,20:26:05
ok,google.com,20:26:10
ok,google.com,20:26:15
ok,google.com,20:26:20
ok,google.com,20:26:25
ok,google.com,20:26:30
ok,google.com,20:26:35
ok,google.com,20:26:40
ok,google.com,20:26:45
ok,google.com,20:26:50
ok,google.com,20:26:55
ok,google.com,20:27:01
ok,google.com,20:27:06
ok,google.com,20:27:11
ok,google.com,20:27:16
ok,google.com,20:27:21
ok,google.com,20:27:26
ok,google.com,20:27:31
ok,google.com,20:27:36
ok,google.com,20:27:41
ok,google.com,20:27:46
ok,google.com,20:27:51
ok,google.com,20:27:56
ok,google.com,20:28:01
ok,google.com,20:28:06
ok,google.com,20:28:11
ok,google.com,20:28:16
ok,google.com,20:28:21
ok,google.com,20:28:26
ok,google.com,20:28:31
ok,google.com,20:28:36
ok,google.com,20:28:41
ok,google.com,20:28:46
ok,google.com,20:28:51
ok,google.com,20:28:56
ok,google.com,20:29:01
ok,google.com,20:29:06
ok,google.com,20:29:11
ok,google.com,20:29:16
ok,google.com,20:29:21
ok,google.com,20:29:26
ok,google.com,20:29:31
ok,google.com,20:29:36
ok,google.com,20:29:41
ok,google.com,20:29:46
